,nome_inct,area,coordenador,Identificador,path_gexf,texto
10,INCT em Ambientes Marinhos Tropicais,Ciências Exatas e da Terra,José Maria Landim Dominguez,47,gexf_fixed/INCT_47_T2_fixed.gexf,"O INCT INCT em Ambientes Marinhos Tropicais Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
23,INCT em Biodiversidade e Produtos Naturais (INCT-BioNat),Ciências Exatas e da Terra,Vanderlan da Silva Bolzani,48,gexf_fixed/INCT_48_T2_fixed.gexf,"O INCT INCT em Biodiversidade e Produtos Naturais (INCT-BioNat) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
32,INCT em Células-Tronco e Terapia Celular no Câncer,Saúde,Dimas Tadeu Covas,49,gexf_fixed/INCT_49_T2_fixed.gexf,"O INCT INCT em Células-Tronco e Terapia Celular no Câncer Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
72,INCT em Comunicação Pública da Ciência e Tecnologia,"Ciências Humanas, Sociais Aplicadas e Educação",Luisa Medeiros Massarani,50,gexf_fixed/INCT_50_T2_fixed.gexf,"O INCT INCT em Comunicação Pública da Ciência e Tecnologia Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
53,INCT em Democracia Digital,"Ciências Humanas, Sociais Aplicadas e Educação",Wilson da Silva Gomes,51,gexf_fixed/INCT_51_T2_fixed.gexf,"O INCT INCT em Democracia Digital Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
41,INCT em Dengue e Interação Microorganismo-hospedeiro,Ciências Biológicas,Mauro Martins Teixeira,52,gexf_fixed/INCT_52_T2_fixed.gexf,"O INCT INCT em Dengue e Interação Microorganismo-hospedeiro Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
35,INCT em Eletrônica Orgânica (INCT-INEO),Ciências Exatas e da Terra,Roberto Mendonca Faria,53,gexf_fixed/INCT_53_T2_fixed.gexf,"O INCT INCT em Eletrônica Orgânica (INCT-INEO) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
24,INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Ciências Biológicas,Charbel Nino El Hani,54,gexf_fixed/INCT_54_T2_fixed.gexf,"O INCT INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
88,INCT de Vacinas,Ciências Biológicas,Ricardo Tostes Gazzinelli,55,gexf_fixed/INCT_55_T2_fixed.gexf,"O INCT INCT de Vacinas Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
86,INCT em Estudos Tectônicos,Ciências Exatas e da Terra,Reinhardt Adolfo Fuck,56,gexf_fixed/INCT_56_T2_fixed.gexf,"O INCT INCT em Estudos Tectônicos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
61,INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Ciências Biológicas,Hernandes Faustino de Carvalho,57,gexf_fixed/INCT_57_T2_fixed.gexf,"O INCT INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
27,INCT em Materiais Complexos Funcionais (INCT-Inomat),Ciências Exatas e da Terra,Fernando Galembeck,58,gexf_fixed/INCT_58_T2_fixed.gexf,"O INCT INCT em Materiais Complexos Funcionais (INCT-Inomat) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
15,INCT em Medicina Assistida por Computação Científica (INCT-MACC),"Engenharias, Energias e Tecnologias da Informação",Jose Eduardo Krieger,59,gexf_fixed/INCT_59_T2_fixed.gexf,"O INCT INCT em Medicina Assistida por Computação Científica (INCT-MACC) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
3,INCT em Medicina Regenerativa,Saúde,Antonio Carlos Campos de Carvalho,60,gexf_fixed/INCT_60_T2_fixed.gexf,"O INCT INCT em Medicina Regenerativa Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
79,INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Ciências Biológicas,Mayana Zatz,61,gexf_fixed/INCT_61_T2_fixed.gexf,"O INCT INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
16,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra,Takeshi Kodama,62,gexf_fixed/INCT_62_T2_fixed.gexf,"O INCT INCT Física Nuclear e Aplicações Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
70,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação",Márcia Maria Menendes Motta,63,gexf_fixed/INCT_63_T2_fixed.gexf,"O INCT INCT História Social das Propriedades e direito de acesso Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
98,INCT Inclusão no Ensino Superior e na Pesquisa,"Ciências Humanas, Sociais Aplicadas e Educação",Jose Jorge de Carvalho,64,gexf_fixed/INCT_64_T2_fixed.gexf,"O INCT INCT Inclusão no Ensino Superior e na Pesquisa Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
57,INCT Informação Quântica,Ciências Exatas e da Terra,Belita Koiller,65,gexf_fixed/INCT_65_T2_fixed.gexf,"O INCT INCT Informação Quântica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
85,INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Ciências Biológicas,Joao Batista Calixto,66,gexf_fixed/INCT_66_T2_fixed.gexf,"O INCT INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
82,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação",Leonardo Avritzer,67,gexf_fixed/INCT_67_T2_fixed.gexf,"O INCT INCT Instituto da Democracia e da Democratização da Comunicação Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
73,INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,"Engenharias, Energias e Tecnologias da Informação",Willy Alvarenga Lacerda,68,gexf_fixed/INCT_68_T2_fixed.gexf,"O INCT INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
55,INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Ciências Exatas e da Terra,José Henrique Muelbert,69,gexf_fixed/INCT_69_T2_fixed.gexf,"O INCT INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
18,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios,Mariangela Hungria da Cunha,70,gexf_fixed/INCT_70_T2_fixed.gexf,"O INCT INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
50,INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Saúde,Maria Vitória Lopes Badra Bentley,71,gexf_fixed/INCT_71_T2_fixed.gexf,"O INCT INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
46,INCT Neuroimmunomodulação,Ciências Biológicas,Wilson Savino,72,gexf_fixed/INCT_72_T2_fixed.gexf,"O INCT INCT Neuroimmunomodulação Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
43,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação",Marcel Bursztyn,73,gexf_fixed/INCT_73_T2_fixed.gexf,"O INCT INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
38,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação",Antonio Celso Dantas Antonino,74,gexf_fixed/INCT_74_T2_fixed.gexf,"O INCT INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
31,INCT para a Cadeia Produtiva do Leite,Ciências Agrárias e Agronegócios,Amauri Alcindo Alfieri,75,gexf_fixed/INCT_75_T2_fixed.gexf,"O INCT INCT para a Cadeia Produtiva do Leite Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
75,INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II),Ciências Biológicas,Adalberto Luis Val,76,gexf_fixed/INCT_76_T2_fixed.gexf,"O INCT INCT para Adaptações da Biota Aquática da Amazônia (INCT-ADAPTA-II) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
9,INCT para Avaliação de Tecnologias em Saúde,Saúde,Carísi Anne Polanczyk,77,gexf_fixed/INCT_77_T2_fixed.gexf,"O INCT INCT para Avaliação de Tecnologias em Saúde Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
0,"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Ciências Biológicas,Diogo Onofre Gomes de Souza,78,gexf_fixed/INCT_78_T2_fixed.gexf,"O INCT INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
52,INCT para Engenharia de Software,Ciências Exatas e da Terra,Augusto Cezar Alves Sampaio,79,gexf_fixed/INCT_79_T2_fixed.gexf,"O INCT INCT para Engenharia de Software Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
66,INCT para Estudos sobre os Estados Unidos,"Ciências Humanas, Sociais Aplicadas e Educação",Sebastiao Carlos Velasco e Cruz,80,gexf_fixed/INCT_80_T2_fixed.gexf,"O INCT INCT para Estudos sobre os Estados Unidos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
6,INCT para Mudanças Climáticas  (INCT-MC),Ciências Exatas e da Terra,Jose Antonio Marengo Orsini,81,gexf_fixed/INCT_81_T2_fixed.gexf,"O INCT INCT para Mudanças Climáticas  (INCT-MC) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
56,INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Ciências Exatas e da Terra,Maria Fatima das Gracas Fernandes da Silva,82,gexf_fixed/INCT_82_T2_fixed.gexf,"O INCT INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
90,INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente,"Engenharias, Energias e Tecnologias da Informação",Marco Henrique Terra,83,gexf_fixed/INCT_83_T2_fixed.gexf,"O INCT INCT para Sistemas Autônomos Cooperativos Aplicados em Segurança e Meio Ambiente Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
83,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação",Fernando Jose Gomes Landgraf,84,gexf_fixed/INCT_84_T2_fixed.gexf,"O INCT INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
5,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde,Marcelo Sobral da Silva,85,gexf_fixed/INCT_85_T2_fixed.gexf,"O INCT INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
71,"INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE)","Ciências Humanas, Sociais Aplicadas e Educação",Deisy das Graças de Souza,86,gexf_fixed/INCT_86_T2_fixed.gexf,"O INCT INCT sobre Comportamento, Cognição e Ensino: Aprendizagem Relacional e Funcionamento Simbólico  (INCT-ECCE) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
95,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação",Joao Francisco Galera Monico,87,gexf_fixed/INCT_87_T2_fixed.gexf,"O INCT INCT Tecnologia GNSS no suporte à Navegação Aérea Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
47,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra,Rochel Montero Lago,88,gexf_fixed/INCT_88_T2_fixed.gexf,"O INCT INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
87,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação",Vanderley Moacyr John,89,gexf_fixed/INCT_89_T2_fixed.gexf,"O INCT INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum."
