,inct_folder,nome_inct,area,coordenador
50,Nanotecnologia_Farmacêutica_um,INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Saúde,Maria Vitória Lopes Badra Bentley
51,de_Genômica_Comparativa,INCT de Genômica Comparativa e Funcional e Melhoramento Assistido de Citros.,Ciências Agrárias e Agronegócios,Marcos Antonio Machado
52,para_Engenharia_de,INCT para Engenharia de Software,Ciências Exatas e da Terra,Augusto Cezar Alves Sampaio
53,em_Democracia_Digital,INCT em Democracia Digital,"Ciências Humanas, Sociais Aplicadas e Educação",Wilson da Silva Gomes
54,Biologia_Sintetica,INCT Biologia Sintetica,Ciências Biológicas,Elibio Leopoldo Rech Filho
55,Mar_COI_Oceanografia,INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Ciências Exatas e da Terra,José Henrique Muelbert
56,para_o_Controle,INCT para o Controle Biorracional de Inseto Pragas e Fitopatógenos,Ciências Exatas e da Terra,Maria Fatima das Gracas Fernandes da Silva
57,Informação_Quântica,INCT Informação Quântica,Ciências Exatas e da Terra,Belita Koiller
58,Ciências_Forenses,INCT Ciências Forenses,Ecologia e Meio Ambiente,Roberto Esser dos Reis
59,Estações_Sustentáveis_de,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação",César Rossas Mota Filho
60,de_Fluidos_Complexos,INCT de Fluidos Complexos,Ciências Exatas e da Terra,Antonio Martins Figueiredo Neto
61,em_Fotônica_Aplicada,INCT em Fotônica Aplicada à Biologia Celular (INCT-INFABiC),Ciências Biológicas,Hernandes Faustino de Carvalho
62,de_Epidemiologia_da,INCT de Epidemiologia da Amazônia Ocidental,Saúde,Henrique Krieger
63,em_Tuberculose,INCT em Tuberculose,Ciências Biológicas,Luiz Augusto Basso
64,do_Bioetanol,INCT do Bioetanol,Ciências Biológicas,Marcos Silveira Buckeridge
65,de_Engenharia_de,INCT de Engenharia de Superfícies,Ciências Exatas e da Terra,Fernando Lázaro Freire Junior
