inct_folder,formacao_mais_alta,qtd,nome_inct,area
57,História_Social_das,Doutorado,32,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação"
58,História_Social_das,Especialização,2,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação"
59,História_Social_das,Graduação,12,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação"
60,História_Social_das,Mestrado,6,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação"
61,História_Social_das,Pós-Doutorado,62,INCT História Social das Propriedades e direito de acesso,"Ciências Humanas, Sociais Aplicadas e Educação"
62,Inclusão_no_Ensino,Doutorado,6,INCT Inclusão no Ensino Superior e na Pesquisa,"Ciências Humanas, Sociais Aplicadas e Educação"
63,Inclusão_no_Ensino,Graduação,1,INCT Inclusão no Ensino Superior e na Pesquisa,"Ciências Humanas, Sociais Aplicadas e Educação"
64,Inclusão_no_Ensino,Livre-Docência,1,INCT Inclusão no Ensino Superior e na Pesquisa,"Ciências Humanas, Sociais Aplicadas e Educação"
65,Inclusão_no_Ensino,Pós-Doutorado,18,INCT Inclusão no Ensino Superior e na Pesquisa,"Ciências Humanas, Sociais Aplicadas e Educação"
66,Informação_Quântica,Doutorado,60,INCT Informação Quântica,Ciências Exatas e da Terra
67,Informação_Quântica,Graduação,14,INCT Informação Quântica,Ciências Exatas e da Terra
68,Informação_Quântica,Livre-Docência,13,INCT Informação Quântica,Ciências Exatas e da Terra
69,Informação_Quântica,Mestrado,14,INCT Informação Quântica,Ciências Exatas e da Terra
70,Informação_Quântica,Pós-Doutorado,170,INCT Informação Quântica,Ciências Exatas e da Terra
71,Inovação_em_Medicamentos,Doutorado,17,INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Ciências Biológicas
72,Inovação_em_Medicamentos,Especialização,1,INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Ciências Biológicas
73,Inovação_em_Medicamentos,Mestrado,3,INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Ciências Biológicas
74,Inovação_em_Medicamentos,Pós-Doutorado,35,INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Ciências Biológicas
75,Instituto_Geotécnico_de,Doutorado,13,INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,"Engenharias, Energias e Tecnologias da Informação"
76,Instituto_Geotécnico_de,Livre-Docência,2,INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,"Engenharias, Energias e Tecnologias da Informação"
77,Instituto_Geotécnico_de,Pós-Doutorado,32,INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,"Engenharias, Energias e Tecnologias da Informação"
78,Instituto_da_Democracia,Doutorado,26,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação"
79,Instituto_da_Democracia,Graduação,3,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação"
80,Instituto_da_Democracia,Livre-Docência,7,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação"
81,Instituto_da_Democracia,Mestrado,8,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação"
82,Instituto_da_Democracia,Pós-Doutorado,35,INCT Instituto da Democracia e da Democratização da Comunicação,"Ciências Humanas, Sociais Aplicadas e Educação"
83,Mar_COI_Oceanografia,Doutorado,22,INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Ciências Exatas e da Terra
84,Mar_COI_Oceanografia,Livre-Docência,3,INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Ciências Exatas e da Terra
85,Mar_COI_Oceanografia,Pós-Doutorado,35,INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Ciências Exatas e da Terra
86,Microrganismos_Promotores_do,Doutorado,105,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios
87,Microrganismos_Promotores_do,Especialização,6,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios
88,Microrganismos_Promotores_do,Graduação,30,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios
89,Microrganismos_Promotores_do,Livre-Docência,1,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios
90,Microrganismos_Promotores_do,Mestrado,35,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios
91,Microrganismos_Promotores_do,Pós-Doutorado,65,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios
92,Nanotecnologia_Farmacêutica_um,Doutorado,6,INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Saúde
93,Nanotecnologia_Farmacêutica_um,Graduação,2,INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Saúde
94,Nanotecnologia_Farmacêutica_um,Livre-Docência,19,INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Saúde
